Force_Transmissibility_Base0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Force Trans. Base,
0.1,0.326666,
0.1019,0.326408,
0.1038,0.326144,
0.1057,0.325875,
0.1076,0.325601,
0.1095,0.325322,
0.1114,0.325038,
0.1133,0.324749,
0.1152,0.324455,
0.1171,0.324155,
0.119,0.32385,
0.1209,0.32354,
0.1228,0.323225,
0.1247,0.322905,
0.1266,0.322579,
0.1285,0.322248,
0.1304,0.321912,
0.1323,0.32157,
0.1342,0.321224,
0.1361,0.320871,
0.138,0.320514,
0.1399,0.320151,
0.1418,0.319783,
0.1437,0.319409,
0.1456,0.31903,
0.1475,0.318646,
0.1494,0.318256,
0.1513,0.31786,
0.1532,0.317459,
0.1551,0.317053,
0.157,0.316641,
0.1589,0.316224,
0.1608,0.315801,
0.1627,0.315372,
0.1646,0.314938,
0.1665,0.314498,
0.1684,0.314052,
0.1703,0.313601,
0.1722,0.313144,
0.1741,0.312682,
0.176,0.312213,
0.1779,0.311739,
0.1798,0.311259,
0.1817,0.310773,
0.1836,0.310282,
0.1855,0.309784,
0.1874,0.309281,
0.1893,0.308772,
0.1912,0.308257,
0.1931,0.307736,
0.195,0.307208,
0.1969,0.306675,
0.1988,0.306136,
0.2007,0.305591,
0.2026,0.305039,
0.2045,0.304482,
0.2064,0.303918,
0.2083,0.303349,
0.2102,0.302773,
0.2121,0.30219,
0.214,0.301602,
0.2159,0.301007,
0.2178,0.300406,
0.2197,0.299798,
0.2216,0.299184,
0.2235,0.298564,
0.2254,0.297937,
0.2273,0.297304,
0.2292,0.296664,
0.2311,0.296017,
0.233,0.295364,
0.2349,0.294705,
0.2368,0.294039,
0.2387,0.293366,
0.2406,0.292686,
0.2425,0.291999,
0.2444,0.291306,
0.2463,0.290606,
0.2482,0.289899,
0.2501,0.289185,
0.252,0.288464,
0.2539,0.287736,
0.2558,0.287001,
0.2577,0.286259,
0.2596,0.28551,
0.2615,0.284754,
0.2634,0.28399,
0.2653,0.283219,
0.2672,0.282441,
0.2691,0.281656,
0.271,0.280863,
0.2729,0.280063,
0.2748,0.279255,
0.2767,0.27844,
0.2786,0.277618,
0.2805,0.276787,
0.2824,0.275949,
0.2843,0.275104,
0.2862,0.27425,
0.2881,0.273389,
0.29,0.27252,
0.2919,0.271643,
0.2938,0.270759,
0.2957,0.269866,
0.2976,0.268965,
0.2995,0.268056,
0.3014,0.267139,
0.3033,0.266214,
0.3052,0.26528,
0.3071,0.264338,
0.309,0.263388,
0.3109,0.262429,
0.3128,0.261462,
0.3147,0.260487,
0.3166,0.259502,
0.3185,0.258509,
0.3204,0.257508,
0.3223,0.256497,
0.3242,0.255478,
0.3261,0.25445,
0.328,0.253413,
0.3299,0.252367,
0.3318,0.251311,
0.3337,0.250247,
0.3356,0.249173,
0.3375,0.248091,
0.3394,0.246998,
0.3413,0.245897,
0.3432,0.244785,
0.3451,0.243665,
0.347,0.242534,
0.3489,0.241394,
0.3508,0.240244,
0.3527,0.239085,
0.3546,0.237915,
0.3565,0.236735,
0.3584,0.235545,
0.3603,0.234346,
0.3622,0.233135,
0.3641,0.231915,
0.366,0.230684,
0.3679,0.229443,
0.3698,0.228191,
0.3717,0.226928,
0.3736,0.225655,
0.3755,0.224371,
0.3774,0.223076,
0.3793,0.22177,
0.3812,0.220453,
0.3831,0.219125,
0.385,0.217785,
0.3869,0.216434,
0.3888,0.215072,
0.3907,0.213698,
0.3926,0.212312,
0.3945,0.210915,
0.3964,0.209506,
0.3983,0.208085,
0.4002,0.206652,
0.4021,0.205207,
0.404,0.203749,
0.4059,0.20228,
0.4078,0.200797,
0.4097,0.199303,
0.4116,0.197795,
0.4135,0.196275,
0.4154,0.194742,
0.4173,0.193196,
0.4192,0.191636,
0.4211,0.190064,
0.423,0.188478,
0.4249,0.186879,
0.4268,0.185266,
0.4287,0.183639,
0.4306,0.181999,
0.4325,0.180344,
0.4344,0.178675,
0.4363,0.176993,
0.4382,0.175295,
0.4401,0.173584,
0.442,0.171858,
0.4439,0.170116,
0.4458,0.16836,
0.4477,0.166589,
0.4496,0.164803,
0.4515,0.163002,
0.4534,0.161185,
0.4553,0.159352,
0.4572,0.157503,
0.4591,0.155639,
0.461,0.153759,
0.4629,0.151862,
0.4648,0.149949,
0.4667,0.148019,
0.4686,0.146073,
0.4705,0.144109,
0.4724,0.142129,
0.4743,0.140132,
0.4762,0.138117,
0.4781,0.136084,
0.48,0.134034,
0.4819,0.131965,
0.4838,0.129879,
0.4857,0.127774,
0.4876,0.125651,
0.4895,0.123509,
0.4914,0.121348,
0.4933,0.119168,
0.4952,0.116969,
0.4971,0.114751,
0.499,0.112512,
0.5009,0.110254,
0.5028,0.107976,
0.5047,0.105677,
0.5066,0.103358,
0.5085,0.101018,
0.5104,0.0986572,
0.5123,0.0962751,
0.5142,0.0938715,
0.5161,0.0914462,
0.518,0.0889991,
0.5199,0.0865298,
0.5218,0.084038,
0.5237,0.0815236,
0.5256,0.0789863,
0.5275,0.0764259,
0.5294,0.073842,
0.5313,0.0712344,
0.5332,0.0686029,
0.5351,0.0659472,
0.537,0.0632669,
0.5389,0.0605619,
0.5408,0.0578317,
0.5427,0.0550762,
0.5446,0.0522951,
0.5465,0.0494879,
0.5484,0.0466546,
0.5503,0.0437946,
0.5522,0.0409077,
0.5541,0.0379937,
0.556,0.0350521,
0.5579,0.0320826,
0.5598,0.029085,
0.5617,0.0260588,
0.5636,0.0230037,
0.5655,0.0199194,
0.5674,0.0168054,
0.5693,0.0136616,
0.5712,0.0104874,
0.5731,0.00728245,
0.575,0.00404646,
0.5769,0.000778992,
0.5788,0.00252034,
0.5807,0.00585194,
0.5826,0.00921622,
0.5845,0.0126136,
0.5864,0.0160445,
0.5883,0.0195093,
0.5902,0.0230085,
0.5921,0.0265425,
0.594,0.0301118,
0.5959,0.0337169,
0.5978,0.0373581,
0.5997,0.041036,
0.6016,0.0447511,
0.6035,0.0485038,
0.6054,0.0522947,
0.6073,0.0561243,
0.6092,0.059993,
0.6111,0.0639014,
0.613,0.0678501,
0.6149,0.0718396,
0.6168,0.0758704,
0.6187,0.0799431,
0.6206,0.0840584,
0.6225,0.0882167,
0.6244,0.0924187,
0.6263,0.0966649,
0.6282,0.100956,
0.6301,0.105293,
0.632,0.109676,
0.6339,0.114105,
0.6358,0.118583,
0.6377,0.123108,
0.6396,0.127682,
0.6415,0.132306,
0.6434,0.13698,
0.6453,0.141706,
0.6472,0.146483,
0.6491,0.151312,
0.651,0.156195,
0.6529,0.161132,
0.6548,0.166124,
0.6567,0.171171,
0.6586,0.176275,
0.6605,0.181437,
0.6624,0.186657,
0.6643,0.191936,
0.6662,0.197275,
0.6681,0.202675,
0.67,0.208137,
0.6719,0.213662,
0.6738,0.219251,
0.6757,0.224904,
0.6776,0.230624,
0.6795,0.23641,
0.6814,0.242265,
0.6833,0.248188,
0.6852,0.254182,
0.6871,0.260247,
0.689,0.266384,
0.6909,0.272595,
0.6928,0.278881,
0.6947,0.285243,
0.6966,0.291682,
0.6985,0.2982,
0.7004,0.304798,
0.7023,0.311476,
0.7042,0.318238,
0.7061,0.325083,
0.708,0.332013,
0.7099,0.339031,
0.7118,0.346136,
0.7137,0.353331,
0.7156,0.360618,
0.7175,0.367997,
0.7194,0.375471,
0.7213,0.383041,
0.7232,0.390709,
0.7251,0.398476,
0.727,0.406344,
0.7289,0.414316,
0.7308,0.422392,
0.7327,0.430575,
0.7346,0.438867,
0.7365,0.447269,
0.7384,0.455783,
0.7403,0.464413,
0.7422,0.473159,
0.7441,0.482024,
0.746,0.491009,
0.7479,0.500119,
0.7498,0.509353,
0.7517,0.518715,
0.7536,0.528208,
0.7555,0.537833,
0.7574,0.547593,
0.7593,0.557491,
0.7612,0.56753,
0.7631,0.577711,
0.765,0.588038,
0.7669,0.598513,
0.7688,0.60914,
0.7707,0.619921,
0.7726,0.630859,
0.7745,0.641957,
0.7764,0.653219,
0.7783,0.664647,
0.7802,0.676245,
0.7821,0.688016,
0.784,0.699964,
0.7859,0.712091,
0.7878,0.724403,
0.7897,0.736901,
0.7916,0.749591,
0.7935,0.762475,
0.7954,0.775558,
0.7973,0.788844,
0.7992,0.802337,
0.8011,0.81604,
0.803,0.829959,
0.8049,0.844097,
0.8068,0.858459,
0.8087,0.87305,
0.8106,0.887873,
0.8125,0.902935,
0.8144,0.918239,
0.8163,0.933791,
0.8182,0.949595,
0.8201,0.965658,
0.822,0.981983,
0.8239,0.998577,
0.8258,1.01544,
0.8277,1.03259,
0.8296,1.05002,
0.8315,1.06774,
0.8334,1.08576,
0.8353,1.10408,
0.8372,1.12271,
0.8391,1.14166,
0.841,1.16092,
0.8429,1.18051,
0.8448,1.20044,
0.8467,1.2207,
0.8486,1.24132,
0.8505,1.26228,
0.8524,1.2836,
0.8543,1.30529,
0.8562,1.32736,
0.8581,1.3498,
0.86,1.37263,
0.8619,1.39585,
0.8638,1.41948,
0.8657,1.44351,
0.8676,1.46795,
0.8695,1.49282,
0.8714,1.51811,
0.8733,1.54383,
0.8752,1.57,
0.8771,1.59661,
0.879,1.62368,
0.8809,1.6512,
0.8828,1.67918,
0.8847,1.70764,
0.8866,1.73656,
0.8885,1.76597,
0.8904,1.79586,
0.8923,1.82624,
0.8942,1.8571,
0.8961,1.88846,
0.898,1.92031,
0.8999,1.95265,
0.9018,1.98549,
0.9037,2.01883,
0.9056,2.05266,
0.9075,2.08698,
0.9094,2.12178,
0.9113,2.15707,
0.9132,2.19283,
0.9151,2.22907,
0.917,2.26576,
0.9189,2.30289,
0.9208,2.34047,
0.9227,2.37846,
0.9246,2.41685,
0.9265,2.45563,
0.9284,2.49478,
0.9303,2.53426,
0.9322,2.57406,
0.9341,2.61414,
0.936,2.65448,
0.9379,2.69503,
0.9398,2.73577,
0.9417,2.77665,
0.9436,2.81763,
0.9455,2.85866,
0.9474,2.8997,
0.9493,2.94069,
0.9512,2.98158,
0.9531,3.02231,
0.955,3.06282,
0.9569,3.10305,
0.9588,3.14292,
0.9607,3.18238,
0.9626,3.22135,
0.9645,3.25977,
0.9664,3.29755,
0.9683,3.33463,
0.9702,3.37092,
0.9721,3.40637,
0.974,3.44088,
0.9759,3.47439,
0.9778,3.50684,
0.9797,3.53813,
0.9816,3.56822,
0.9835,3.59704,
0.9854,3.62452,
0.9873,3.65061,
0.9892,3.67525,
0.9911,3.69841,
0.993,3.72003,
0.9949,3.74008,
0.9968,3.75853,
0.9987,3.77537,
1.0006,3.79056,
1.0025,3.8041,
1.0044,3.81598,
1.0063,3.82621,
1.0082,3.8348,
1.0101,3.84175,
1.012,3.84709,
1.0139,3.85084,
1.0158,3.85304,
1.0177,3.85372,
1.0196,3.85292,
1.0215,3.85068,
1.0234,3.84705,
1.0253,3.84209,
1.0272,3.83584,
1.0291,3.82836,
1.031,3.81971,
1.0329,3.80995,
1.0348,3.79913,
1.0367,3.78731,
1.0386,3.77456,
1.0405,3.76093,
1.0424,3.74649,
1.0443,3.73128,
1.0462,3.71537,
1.0481,3.69881,
1.05,3.68165,
1.0519,3.66395,
1.0538,3.64576,
1.0557,3.62712,
1.0576,3.60809,
1.0595,3.5887,
1.0614,3.569,
1.0633,3.54902,
1.0652,3.52882,
1.0671,3.50842,
1.069,3.48785,
1.0709,3.46715,
1.0728,3.44635,
1.0747,3.42548,
1.0766,3.40456,
1.0785,3.38362,
1.0804,3.36268,
1.0823,3.34176,
1.0842,3.32088,
1.0861,3.30007,
1.088,3.27932,
1.0899,3.25867,
1.0918,3.23812,
1.0937,3.21769,
1.0956,3.1974,
1.0975,3.17724,
1.0994,3.15723,
1.1013,3.13737,
1.1032,3.11769,
1.1051,3.09818,
1.107,3.07884,
1.1089,3.05969,
1.1108,3.04073,
1.1127,3.02197,
1.1146,3.0034,
1.1165,2.98502,
1.1184,2.96686,
1.1203,2.94889,
1.1222,2.93113,
1.1241,2.91358,
1.126,2.89623,
1.1279,2.8791,
1.1298,2.86217,
1.1317,2.84545,
1.1336,2.82893,
1.1355,2.81263,
1.1374,2.79653,
1.1393,2.78064,
1.1412,2.76495,
1.1431,2.74946,
1.145,2.73418,
1.1469,2.71909,
1.1488,2.7042,
1.1507,2.68951,
1.1526,2.67502,
1.1545,2.66071,
1.1564,2.6466,
1.1583,2.63268,
1.1602,2.61894,
1.1621,2.60538,
1.164,2.59201,
1.1659,2.57882,
1.1678,2.5658,
1.1697,2.55296,
1.1716,2.5403,
1.1735,2.5278,
1.1754,2.51547,
1.1773,2.5033,
1.1792,2.4913,
1.1811,2.47946,
1.183,2.46778,
1.1849,2.45626,
1.1868,2.44488,
1.1887,2.43366,
1.1906,2.42259,
1.1925,2.41167,
1.1944,2.40089,
1.1963,2.39026,
1.1982,2.37976,
1.2001,2.3694,
1.202,2.35918,
1.2039,2.34909,
1.2058,2.33914,
1.2077,2.32931,
1.2096,2.31962,
1.2115,2.31005,
1.2134,2.3006,
1.2153,2.29127,
1.2172,2.28206,
1.2191,2.27298,
1.221,2.264,
1.2229,2.25515,
1.2248,2.2464,
1.2267,2.23777,
1.2286,2.22924,
1.2305,2.22082,
1.2324,2.21251,
1.2343,2.2043,
1.2362,2.19619,
1.2381,2.18819,
1.24,2.18028,
1.2419,2.17247,
1.2438,2.16476,
1.2457,2.15714,
1.2476,2.14961,
1.2495,2.14218,
1.2514,2.13483,
1.2533,2.12757,
1.2552,2.1204,
1.2571,2.11332,
1.259,2.10632,
1.2609,2.09941,
1.2628,2.09257,
1.2647,2.08582,
1.2666,2.07914,
1.2685,2.07255,
1.2704,2.06603,
1.2723,2.05959,
1.2742,2.05322,
1.2761,2.04692,
1.278,2.0407,
1.2799,2.03455,
1.2818,2.02847,
1.2837,2.02246,
1.2856,2.01651,
1.2875,2.01064,
1.2894,2.00483,
1.2913,1.99908,
1.2932,1.9934,
1.2951,1.98778,
1.297,1.98223,
1.2989,1.97673,
1.3008,1.9713,
1.3027,1.96592,
1.3046,1.96061,
1.3065,1.95535,
1.3084,1.95015,
1.3103,1.945,
1.3122,1.93992,
1.3141,1.93488,
1.316,1.9299,
1.3179,1.92497,
1.3198,1.9201,
1.3217,1.91527,
1.3236,1.9105,
1.3255,1.90578,
1.3274,1.90111,
1.3293,1.89648,
1.3312,1.8919,
1.3331,1.88738,
1.335,1.88289,
1.3369,1.87846,
1.3388,1.87407,
1.3407,1.86972,
1.3426,1.86542,
1.3445,1.86116,
1.3464,1.85695,
1.3483,1.85277,
1.3502,1.84864,
1.3521,1.84455,
1.354,1.8405,
1.3559,1.8365,
1.3578,1.83253,
1.3597,1.8286,
1.3616,1.82471,
1.3635,1.82086,
1.3654,1.81704,
1.3673,1.81326,
1.3692,1.80952,
1.3711,1.80582,
1.373,1.80215,
1.3749,1.79852,
1.3768,1.79492,
1.3787,1.79135,
1.3806,1.78782,
1.3825,1.78433,
1.3844,1.78086,
1.3863,1.77743,
1.3882,1.77403,
1.3901,1.77067,
1.392,1.76733,
1.3939,1.76403,
1.3958,1.76075,
1.3977,1.75751,
1.3996,1.7543,
1.4015,1.75111,
1.4034,1.74796,
1.4053,1.74483,
1.4072,1.74174,
1.4091,1.73867,
1.411,1.73563,
1.4129,1.73261,
1.4148,1.72963,
1.4167,1.72667,
1.4186,1.72374,
1.4205,1.72083,
1.4224,1.71795,
1.4243,1.71509,
1.4262,1.71227,
1.4281,1.70946,
1.43,1.70668,
1.4319,1.70393,
1.4338,1.7012,
1.4357,1.69849,
1.4376,1.69581,
1.4395,1.69315,
1.4414,1.69051,
1.4433,1.68789,
1.4452,1.6853,
1.4471,1.68273,
1.449,1.68019,
1.4509,1.67766,
1.4528,1.67516,
1.4547,1.67268,
1.4566,1.67021,
1.4585,1.66777,
1.4604,1.66535,
1.4623,1.66296,
1.4642,1.66058,
1.4661,1.65822,
1.468,1.65588,
1.4699,1.65356,
1.4718,1.65126,
1.4737,1.64898,
1.4756,1.64672,
1.4775,1.64447,
1.4794,1.64225,
1.4813,1.64004,
1.4832,1.63785,
1.4851,1.63568,
1.487,1.63353,
1.4889,1.63139,
1.4908,1.62928,
1.4927,1.62717,
1.4946,1.62509,
1.4965,1.62302,
1.4984,1.62097,
1.5003,1.61894,
1.5022,1.61692,
1.5041,1.61492,
1.506,1.61294,
1.5079,1.61097,
1.5098,1.60901,
1.5117,1.60708,
1.5136,1.60515,
1.5155,1.60325,
1.5174,1.60136,
1.5193,1.59948,
1.5212,1.59762,
1.5231,1.59577,
1.525,1.59393,
1.5269,1.59211,
1.5288,1.59031,
1.5307,1.58852,
1.5326,1.58674,
1.5345,1.58498,
1.5364,1.58323,
1.5383,1.58149,
1.5402,1.57977,
1.5421,1.57806,
1.544,1.57637,
1.5459,1.57468,
1.5478,1.57301,
1.5497,1.57136,
1.5516,1.56971,
1.5535,1.56808,
1.5554,1.56646,
1.5573,1.56485,
1.5592,1.56326,
1.5611,1.56167,
1.563,1.5601,
1.5649,1.55854,
1.5668,1.557,
1.5687,1.55546,
1.5706,1.55393,
1.5725,1.55242,
1.5744,1.55092,
1.5763,1.54943,
1.5782,1.54795,
1.5801,1.54648,
1.582,1.54502,
1.5839,1.54358,
1.5858,1.54214,
1.5877,1.54072,
1.5896,1.5393,
1.5915,1.5379,
1.5934,1.5365,
1.5953,1.53512,
1.5972,1.53375,
1.5991,1.53238,
1.601,1.53103,
1.6029,1.52969,
1.6048,1.52835,
1.6067,1.52703,
1.6086,1.52571,
1.6105,1.52441,
1.6124,1.52311,
1.6143,1.52183,
1.6162,1.52055,
1.6181,1.51928,
1.62,1.51802,
1.6219,1.51677,
1.6238,1.51553,
1.6257,1.5143,
1.6276,1.51308,
1.6295,1.51187,
1.6314,1.51066,
1.6333,1.50947,
1.6352,1.50828,
1.6371,1.5071,
1.639,1.50593,
1.6409,1.50477,
1.6428,1.50361,
1.6447,1.50247,
1.6466,1.50133,
1.6485,1.5002,
1.6504,1.49908,
1.6523,1.49796,
1.6542,1.49686,
1.6561,1.49576,
1.658,1.49467,
1.6599,1.49359,
1.6618,1.49251,
1.6637,1.49144,
1.6656,1.49038,
1.6675,1.48933,
1.6694,1.48829,
1.6713,1.48725,
1.6732,1.48622,
1.6751,1.4852,
1.677,1.48418,
1.6789,1.48317,
1.6808,1.48217,
1.6827,1.48117,
1.6846,1.48019,
1.6865,1.47921,
1.6884,1.47823,
1.6903,1.47726,
1.6922,1.4763,
1.6941,1.47535,
1.696,1.4744,
1.6979,1.47346,
1.6998,1.47253,
1.7017,1.4716,
1.7036,1.47068,
1.7055,1.46976,
1.7074,1.46886,
1.7093,1.46795,
1.7112,1.46706,
1.7131,1.46617,
1.715,1.46528,
1.7169,1.46441,
1.7188,1.46353,
1.7207,1.46267,
1.7226,1.46181,
1.7245,1.46096,
1.7264,1.46011,
1.7283,1.45927,
1.7302,1.45843,
1.7321,1.4576,
1.734,1.45678,
1.7359,1.45596,
1.7378,1.45514,
1.7397,1.45434,
1.7416,1.45353,
1.7435,1.45274,
1.7454,1.45195,
1.7473,1.45116,
1.7492,1.45038,
1.7511,1.44961,
1.753,1.44884,
1.7549,1.44807,
1.7568,1.44731,
1.7587,1.44656,
1.7606,1.44581,
1.7625,1.44507,
1.7644,1.44433,
1.7663,1.44359,
1.7682,1.44287,
1.7701,1.44214,
1.772,1.44142,
1.7739,1.44071,
1.7758,1.44,
1.7777,1.4393,
1.7796,1.4386,
1.7815,1.43791,
1.7834,1.43722,
1.7853,1.43653,
1.7872,1.43585,
1.7891,1.43518,
1.791,1.43451,
1.7929,1.43384,
1.7948,1.43318,
1.7967,1.43252,
1.7986,1.43187,
1.8005,1.43122,
1.8024,1.43058,
1.8043,1.42994,
1.8062,1.4293,
1.8081,1.42867,
1.81,1.42805,
1.8119,1.42743,
1.8138,1.42681,
1.8157,1.4262,
1.8176,1.42559,
1.8195,1.42498,
1.8214,1.42438,
1.8233,1.42379,
1.8252,1.42319,
1.8271,1.4226,
1.829,1.42202,
1.8309,1.42144,
1.8328,1.42086,
1.8347,1.42029,
1.8366,1.41972,
1.8385,1.41916,
1.8404,1.4186,
1.8423,1.41804,
1.8442,1.41749,
1.8461,1.41694,
1.848,1.4164,
1.8499,1.41586,
1.8518,1.41532,
1.8537,1.41478,
1.8556,1.41426,
1.8575,1.41373,
1.8594,1.41321,
1.8613,1.41269,
1.8632,1.41217,
1.8651,1.41166,
1.867,1.41115,
1.8689,1.41065,
1.8708,1.41015,
1.8727,1.40965,
1.8746,1.40916,
1.8765,1.40866,
1.8784,1.40818,
1.8803,1.40769,
1.8822,1.40721,
1.8841,1.40674,
1.886,1.40626,
1.8879,1.40579,
1.8898,1.40533,
1.8917,1.40486,
1.8936,1.4044,
1.8955,1.40395,
1.8974,1.40349,
1.8993,1.40304,
1.9012,1.40259,
1.9031,1.40215,
1.905,1.40171,
1.9069,1.40127,
1.9088,1.40084,
1.9107,1.40041,
1.9126,1.39998,
1.9145,1.39955,
1.9164,1.39913,
1.9183,1.39871,
1.9202,1.39829,
1.9221,1.39788,
1.924,1.39747,
1.9259,1.39706,
1.9278,1.39666,
1.9297,1.39626,
1.9316,1.39586,
1.9335,1.39547,
1.9354,1.39507,
1.9373,1.39468,
1.9392,1.3943,
1.9411,1.39391,
1.943,1.39353,
1.9449,1.39315,
1.9468,1.39278,
1.9487,1.3924,
1.9506,1.39203,
1.9525,1.39167,
1.9544,1.3913,
1.9563,1.39094,
1.9582,1.39058,
1.9601,1.39023,
1.962,1.38987,
1.9639,1.38952,
1.9658,1.38917,
1.9677,1.38883,
1.9696,1.38848,
1.9715,1.38814,
1.9734,1.38781,
1.9753,1.38747,
1.9772,1.38714,
1.9791,1.38681,
1.981,1.38648,
1.9829,1.38615,
1.9848,1.38583,
1.9867,1.38551,
1.9886,1.38519,
1.9905,1.38488,
1.9924,1.38457,
1.9943,1.38426,
1.9962,1.38395,
1.9981,1.38364,
2,1.38334,
