Frequency_Response0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,H,
0.1,1.00993,
0.1019,1.01031,
0.1038,1.01071,
0.1057,1.01111,
0.1076,1.01151,
0.1095,1.01193,
0.1114,1.01235,
0.1133,1.01278,
0.1152,1.01322,
0.1171,1.01366,
0.119,1.01412,
0.1209,1.01458,
0.1228,1.01505,
0.1247,1.01552,
0.1266,1.01601,
0.1285,1.0165,
0.1304,1.017,
0.1323,1.01751,
0.1342,1.01802,
0.1361,1.01855,
0.138,1.01908,
0.1399,1.01962,
0.1418,1.02016,
0.1437,1.02072,
0.1456,1.02128,
0.1475,1.02185,
0.1494,1.02243,
0.1513,1.02302,
0.1532,1.02361,
0.1551,1.02422,
0.157,1.02483,
0.1589,1.02545,
0.1608,1.02608,
0.1627,1.02671,
0.1646,1.02736,
0.1665,1.02801,
0.1684,1.02867,
0.1703,1.02934,
0.1722,1.03002,
0.1741,1.0307,
0.176,1.0314,
0.1779,1.0321,
0.1798,1.03281,
0.1817,1.03353,
0.1836,1.03426,
0.1855,1.035,
0.1874,1.03575,
0.1893,1.0365,
0.1912,1.03726,
0.1931,1.03804,
0.195,1.03882,
0.1969,1.03961,
0.1988,1.04041,
0.2007,1.04121,
0.2026,1.04203,
0.2045,1.04285,
0.2064,1.04369,
0.2083,1.04453,
0.2102,1.04538,
0.2121,1.04625,
0.214,1.04712,
0.2159,1.048,
0.2178,1.04889,
0.2197,1.04978,
0.2216,1.05069,
0.2235,1.05161,
0.2254,1.05254,
0.2273,1.05347,
0.2292,1.05442,
0.2311,1.05537,
0.233,1.05634,
0.2349,1.05731,
0.2368,1.0583,
0.2387,1.05929,
0.2406,1.06029,
0.2425,1.06131,
0.2444,1.06233,
0.2463,1.06336,
0.2482,1.06441,
0.2501,1.06546,
0.252,1.06652,
0.2539,1.0676,
0.2558,1.06868,
0.2577,1.06978,
0.2596,1.07088,
0.2615,1.07199,
0.2634,1.07312,
0.2653,1.07426,
0.2672,1.0754,
0.2691,1.07656,
0.271,1.07773,
0.2729,1.0789,
0.2748,1.08009,
0.2767,1.08129,
0.2786,1.0825,
0.2805,1.08373,
0.2824,1.08496,
0.2843,1.0862,
0.2862,1.08746,
0.2881,1.08872,
0.29,1.09,
0.2919,1.09129,
0.2938,1.09259,
0.2957,1.0939,
0.2976,1.09523,
0.2995,1.09656,
0.3014,1.09791,
0.3033,1.09927,
0.3052,1.10064,
0.3071,1.10202,
0.309,1.10342,
0.3109,1.10482,
0.3128,1.10624,
0.3147,1.10767,
0.3166,1.10912,
0.3185,1.11057,
0.3204,1.11204,
0.3223,1.11352,
0.3242,1.11501,
0.3261,1.11652,
0.328,1.11804,
0.3299,1.11957,
0.3318,1.12112,
0.3337,1.12267,
0.3356,1.12425,
0.3375,1.12583,
0.3394,1.12743,
0.3413,1.12904,
0.3432,1.13066,
0.3451,1.1323,
0.347,1.13395,
0.3489,1.13562,
0.3508,1.1373,
0.3527,1.13899,
0.3546,1.1407,
0.3565,1.14242,
0.3584,1.14416,
0.3603,1.14591,
0.3622,1.14768,
0.3641,1.14946,
0.366,1.15125,
0.3679,1.15306,
0.3698,1.15489,
0.3717,1.15673,
0.3736,1.15858,
0.3755,1.16045,
0.3774,1.16234,
0.3793,1.16424,
0.3812,1.16616,
0.3831,1.16809,
0.385,1.17004,
0.3869,1.17201,
0.3888,1.17399,
0.3907,1.17599,
0.3926,1.178,
0.3945,1.18003,
0.3964,1.18208,
0.3983,1.18414,
0.4002,1.18622,
0.4021,1.18832,
0.404,1.19044,
0.4059,1.19257,
0.4078,1.19472,
0.4097,1.19689,
0.4116,1.19907,
0.4135,1.20128,
0.4154,1.2035,
0.4173,1.20574,
0.4192,1.208,
0.4211,1.21027,
0.423,1.21257,
0.4249,1.21488,
0.4268,1.21722,
0.4287,1.21957,
0.4306,1.22194,
0.4325,1.22434,
0.4344,1.22675,
0.4363,1.22918,
0.4382,1.23163,
0.4401,1.2341,
0.442,1.23659,
0.4439,1.23911,
0.4458,1.24164,
0.4477,1.2442,
0.4496,1.24677,
0.4515,1.24937,
0.4534,1.25199,
0.4553,1.25463,
0.4572,1.25729,
0.4591,1.25998,
0.461,1.26268,
0.4629,1.26541,
0.4648,1.26817,
0.4667,1.27094,
0.4686,1.27374,
0.4705,1.27656,
0.4724,1.27941,
0.4743,1.28228,
0.4762,1.28517,
0.4781,1.28809,
0.48,1.29103,
0.4819,1.294,
0.4838,1.29699,
0.4857,1.30001,
0.4876,1.30306,
0.4895,1.30612,
0.4914,1.30922,
0.4933,1.31234,
0.4952,1.31549,
0.4971,1.31867,
0.499,1.32187,
0.5009,1.3251,
0.5028,1.32836,
0.5047,1.33164,
0.5066,1.33496,
0.5085,1.3383,
0.5104,1.34167,
0.5123,1.34507,
0.5142,1.3485,
0.5161,1.35196,
0.518,1.35545,
0.5199,1.35897,
0.5218,1.36252,
0.5237,1.3661,
0.5256,1.36972,
0.5275,1.37336,
0.5294,1.37704,
0.5313,1.38075,
0.5332,1.38449,
0.5351,1.38826,
0.537,1.39207,
0.5389,1.39592,
0.5408,1.39979,
0.5427,1.4037,
0.5446,1.40765,
0.5465,1.41163,
0.5484,1.41565,
0.5503,1.4197,
0.5522,1.42379,
0.5541,1.42792,
0.556,1.43209,
0.5579,1.43629,
0.5598,1.44053,
0.5617,1.44481,
0.5636,1.44913,
0.5655,1.45349,
0.5674,1.45789,
0.5693,1.46232,
0.5712,1.4668,
0.5731,1.47133,
0.575,1.47589,
0.5769,1.4805,
0.5788,1.48515,
0.5807,1.48984,
0.5826,1.49458,
0.5845,1.49936,
0.5864,1.50418,
0.5883,1.50906,
0.5902,1.51398,
0.5921,1.51894,
0.594,1.52395,
0.5959,1.52902,
0.5978,1.53412,
0.5997,1.53928,
0.6016,1.54449,
0.6035,1.54975,
0.6054,1.55506,
0.6073,1.56042,
0.6092,1.56584,
0.6111,1.57131,
0.613,1.57683,
0.6149,1.5824,
0.6168,1.58804,
0.6187,1.59372,
0.6206,1.59947,
0.6225,1.60527,
0.6244,1.61113,
0.6263,1.61705,
0.6282,1.62302,
0.6301,1.62906,
0.632,1.63516,
0.6339,1.64132,
0.6358,1.64755,
0.6377,1.65384,
0.6396,1.66019,
0.6415,1.66661,
0.6434,1.6731,
0.6453,1.67965,
0.6472,1.68627,
0.6491,1.69297,
0.651,1.69973,
0.6529,1.70656,
0.6548,1.71347,
0.6567,1.72044,
0.6586,1.7275,
0.6605,1.73463,
0.6624,1.74183,
0.6643,1.74911,
0.6662,1.75648,
0.6681,1.76392,
0.67,1.77144,
0.6719,1.77904,
0.6738,1.78673,
0.6757,1.79451,
0.6776,1.80237,
0.6795,1.81031,
0.6814,1.81835,
0.6833,1.82647,
0.6852,1.83469,
0.6871,1.843,
0.689,1.8514,
0.6909,1.8599,
0.6928,1.8685,
0.6947,1.87719,
0.6966,1.88598,
0.6985,1.89488,
0.7004,1.90388,
0.7023,1.91298,
0.7042,1.92219,
0.7061,1.93151,
0.708,1.94094,
0.7099,1.95048,
0.7118,1.96013,
0.7137,1.9699,
0.7156,1.97978,
0.7175,1.98979,
0.7194,1.99991,
0.7213,2.01016,
0.7232,2.02053,
0.7251,2.03103,
0.727,2.04166,
0.7289,2.05241,
0.7308,2.06331,
0.7327,2.07433,
0.7346,2.0855,
0.7365,2.0968,
0.7384,2.10825,
0.7403,2.11984,
0.7422,2.13158,
0.7441,2.14347,
0.746,2.15551,
0.7479,2.16771,
0.7498,2.18006,
0.7517,2.19257,
0.7536,2.20525,
0.7555,2.21809,
0.7574,2.2311,
0.7593,2.24428,
0.7612,2.25763,
0.7631,2.27117,
0.765,2.28488,
0.7669,2.29878,
0.7688,2.31286,
0.7707,2.32714,
0.7726,2.34161,
0.7745,2.35627,
0.7764,2.37114,
0.7783,2.38621,
0.7802,2.40148,
0.7821,2.41697,
0.784,2.43268,
0.7859,2.4486,
0.7878,2.46474,
0.7897,2.48112,
0.7916,2.49772,
0.7935,2.51456,
0.7954,2.53163,
0.7973,2.54895,
0.7992,2.56652,
0.8011,2.58434,
0.803,2.60242,
0.8049,2.62076,
0.8068,2.63936,
0.8087,2.65823,
0.8106,2.67738,
0.8125,2.69681,
0.8144,2.71652,
0.8163,2.73653,
0.8182,2.75682,
0.8201,2.77742,
0.822,2.79833,
0.8239,2.81954,
0.8258,2.84107,
0.8277,2.86292,
0.8296,2.88509,
0.8315,2.9076,
0.8334,2.93045,
0.8353,2.95363,
0.8372,2.97717,
0.8391,3.00105,
0.841,3.0253,
0.8429,3.04991,
0.8448,3.07489,
0.8467,3.10025,
0.8486,3.12598,
0.8505,3.1521,
0.8524,3.17861,
0.8543,3.20552,
0.8562,3.23283,
0.8581,3.26054,
0.86,3.28866,
0.8619,3.3172,
0.8638,3.34616,
0.8657,3.37554,
0.8676,3.40535,
0.8695,3.43559,
0.8714,3.46626,
0.8733,3.49737,
0.8752,3.52892,
0.8771,3.56091,
0.879,3.59334,
0.8809,3.62621,
0.8828,3.65953,
0.8847,3.69329,
0.8866,3.72749,
0.8885,3.76213,
0.8904,3.79721,
0.8923,3.83272,
0.8942,3.86866,
0.8961,3.90502,
0.898,3.94179,
0.8999,3.97897,
0.9018,4.01654,
0.9037,4.0545,
0.9056,4.09283,
0.9075,4.13152,
0.9094,4.17054,
0.9113,4.20988,
0.9132,4.24953,
0.9151,4.28945,
0.917,4.32962,
0.9189,4.37001,
0.9208,4.41059,
0.9227,4.45133,
0.9246,4.49219,
0.9265,4.53314,
0.9284,4.57413,
0.9303,4.61511,
0.9322,4.65603,
0.9341,4.69685,
0.936,4.73751,
0.9379,4.77794,
0.9398,4.81809,
0.9417,4.85789,
0.9436,4.89727,
0.9455,4.93616,
0.9474,4.97448,
0.9493,5.01215,
0.9512,5.04909,
0.9531,5.08522,
0.955,5.12044,
0.9569,5.15467,
0.9588,5.18782,
0.9607,5.21979,
0.9626,5.25049,
0.9645,5.27983,
0.9664,5.30772,
0.9683,5.33406,
0.9702,5.35876,
0.9721,5.38174,
0.974,5.4029,
0.9759,5.42218,
0.9778,5.43948,
0.9797,5.45473,
0.9816,5.46788,
0.9835,5.47885,
0.9854,5.48761,
0.9873,5.49409,
0.9892,5.49826,
0.9911,5.5001,
0.993,5.49958,
0.9949,5.49669,
0.9968,5.49143,
0.9987,5.4838,
1.0006,5.47382,
1.0025,5.46152,
1.0044,5.44694,
1.0063,5.4301,
1.0082,5.41107,
1.0101,5.3899,
1.012,5.36665,
1.0139,5.34141,
1.0158,5.31424,
1.0177,5.28522,
1.0196,5.25445,
1.0215,5.22202,
1.0234,5.18801,
1.0253,5.15253,
1.0272,5.11566,
1.0291,5.07751,
1.031,5.03818,
1.0329,4.99775,
1.0348,4.95633,
1.0367,4.91402,
1.0386,4.8709,
1.0405,4.82707,
1.0424,4.7826,
1.0443,4.7376,
1.0462,4.69213,
1.0481,4.64629,
1.05,4.60013,
1.0519,4.55374,
1.0538,4.50718,
1.0557,4.46051,
1.0576,4.4138,
1.0595,4.3671,
1.0614,4.32046,
1.0633,4.27393,
1.0652,4.22756,
1.0671,4.18139,
1.069,4.13545,
1.0709,4.08979,
1.0728,4.04444,
1.0747,3.99942,
1.0766,3.95476,
1.0785,3.91049,
1.0804,3.86662,
1.0823,3.82319,
1.0842,3.7802,
1.0861,3.73766,
1.088,3.6956,
1.0899,3.65402,
1.0918,3.61294,
1.0937,3.57236,
1.0956,3.53229,
1.0975,3.49273,
1.0994,3.45368,
1.1013,3.41516,
1.1032,3.37716,
1.1051,3.33968,
1.107,3.30273,
1.1089,3.2663,
1.1108,3.23039,
1.1127,3.195,
1.1146,3.16012,
1.1165,3.12576,
1.1184,3.0919,
1.1203,3.05855,
1.1222,3.0257,
1.1241,2.99335,
1.126,2.96148,
1.1279,2.9301,
1.1298,2.8992,
1.1317,2.86877,
1.1336,2.8388,
1.1355,2.8093,
1.1374,2.78025,
1.1393,2.75164,
1.1412,2.72348,
1.1431,2.69575,
1.145,2.66845,
1.1469,2.64157,
1.1488,2.6151,
1.1507,2.58904,
1.1526,2.56337,
1.1545,2.53811,
1.1564,2.51323,
1.1583,2.48873,
1.1602,2.4646,
1.1621,2.44084,
1.164,2.41745,
1.1659,2.3944,
1.1678,2.37171,
1.1697,2.34936,
1.1716,2.32734,
1.1735,2.30566,
1.1754,2.2843,
1.1773,2.26325,
1.1792,2.24252,
1.1811,2.2221,
1.183,2.20198,
1.1849,2.18215,
1.1868,2.16261,
1.1887,2.14336,
1.1906,2.12439,
1.1925,2.10569,
1.1944,2.08726,
1.1963,2.0691,
1.1982,2.0512,
1.2001,2.03355,
1.202,2.01615,
1.2039,1.999,
1.2058,1.98209,
1.2077,1.96541,
1.2096,1.94897,
1.2115,1.93276,
1.2134,1.91677,
1.2153,1.901,
1.2172,1.88545,
1.2191,1.87011,
1.221,1.85497,
1.2229,1.84004,
1.2248,1.82532,
1.2267,1.81079,
1.2286,1.79645,
1.2305,1.7823,
1.2324,1.76835,
1.2343,1.75457,
1.2362,1.74097,
1.2381,1.72756,
1.24,1.71431,
1.2419,1.70124,
1.2438,1.68833,
1.2457,1.67559,
1.2476,1.66302,
1.2495,1.6506,
1.2514,1.63834,
1.2533,1.62623,
1.2552,1.61427,
1.2571,1.60246,
1.259,1.5908,
1.2609,1.57928,
1.2628,1.56791,
1.2647,1.55667,
1.2666,1.54557,
1.2685,1.5346,
1.2704,1.52376,
1.2723,1.51306,
1.2742,1.50248,
1.2761,1.49203,
1.278,1.4817,
1.2799,1.47149,
1.2818,1.4614,
1.2837,1.45143,
1.2856,1.44158,
1.2875,1.43184,
1.2894,1.42221,
1.2913,1.41269,
1.2932,1.40328,
1.2951,1.39398,
1.297,1.38478,
1.2989,1.37568,
1.3008,1.36669,
1.3027,1.3578,
1.3046,1.349,
1.3065,1.3403,
1.3084,1.3317,
1.3103,1.32319,
1.3122,1.31478,
1.3141,1.30645,
1.316,1.29822,
1.3179,1.29007,
1.3198,1.28201,
1.3217,1.27404,
1.3236,1.26615,
1.3255,1.25835,
1.3274,1.25062,
1.3293,1.24298,
1.3312,1.23542,
1.3331,1.22793,
1.335,1.22053,
1.3369,1.2132,
1.3388,1.20594,
1.3407,1.19876,
1.3426,1.19165,
1.3445,1.18461,
1.3464,1.17765,
1.3483,1.17075,
1.3502,1.16392,
1.3521,1.15716,
1.354,1.15047,
1.3559,1.14384,
1.3578,1.13728,
1.3597,1.13078,
1.3616,1.12435,
1.3635,1.11798,
1.3654,1.11167,
1.3673,1.10542,
1.3692,1.09923,
1.3711,1.0931,
1.373,1.08703,
1.3749,1.08101,
1.3768,1.07505,
1.3787,1.06915,
1.3806,1.0633,
1.3825,1.05751,
1.3844,1.05177,
1.3863,1.04609,
1.3882,1.04045,
1.3901,1.03487,
1.392,1.02934,
1.3939,1.02386,
1.3958,1.01843,
1.3977,1.01305,
1.3996,1.00771,
1.4015,1.00243,
1.4034,0.997191,
1.4053,0.991999,
1.4072,0.986853,
1.4091,0.981752,
1.411,0.976696,
1.4129,0.971685,
1.4148,0.966717,
1.4167,0.961793,
1.4186,0.956911,
1.4205,0.952071,
1.4224,0.947272,
1.4243,0.942515,
1.4262,0.937798,
1.4281,0.933122,
1.43,0.928485,
1.4319,0.923887,
1.4338,0.919328,
1.4357,0.914807,
1.4376,0.910324,
1.4395,0.905878,
1.4414,0.901468,
1.4433,0.897096,
1.4452,0.892759,
1.4471,0.888457,
1.449,0.884191,
1.4509,0.87996,
1.4528,0.875763,
1.4547,0.871599,
1.4566,0.86747,
1.4585,0.863373,
1.4604,0.85931,
1.4623,0.855278,
1.4642,0.851279,
1.4661,0.847311,
1.468,0.843375,
1.4699,0.839469,
1.4718,0.835594,
1.4737,0.83175,
1.4756,0.827935,
1.4775,0.82415,
1.4794,0.820394,
1.4813,0.816667,
1.4832,0.812969,
1.4851,0.809299,
1.487,0.805657,
1.4889,0.802042,
1.4908,0.798455,
1.4927,0.794895,
1.4946,0.791362,
1.4965,0.787856,
1.4984,0.784375,
1.5003,0.780921,
1.5022,0.777492,
1.5041,0.774089,
1.506,0.770711,
1.5079,0.767357,
1.5098,0.764028,
1.5117,0.760724,
1.5136,0.757444,
1.5155,0.754187,
1.5174,0.750954,
1.5193,0.747744,
1.5212,0.744558,
1.5231,0.741394,
1.525,0.738253,
1.5269,0.735135,
1.5288,0.732038,
1.5307,0.728964,
1.5326,0.725911,
1.5345,0.722879,
1.5364,0.719869,
1.5383,0.71688,
1.5402,0.713912,
1.5421,0.710965,
1.544,0.708038,
1.5459,0.705131,
1.5478,0.702244,
1.5497,0.699377,
1.5516,0.69653,
1.5535,0.693702,
1.5554,0.690894,
1.5573,0.688104,
1.5592,0.685334,
1.5611,0.682582,
1.563,0.679849,
1.5649,0.677134,
1.5668,0.674437,
1.5687,0.671758,
1.5706,0.669097,
1.5725,0.666454,
1.5744,0.663828,
1.5763,0.66122,
1.5782,0.658628,
1.5801,0.656054,
1.582,0.653497,
1.5839,0.650956,
1.5858,0.648432,
1.5877,0.645924,
1.5896,0.643432,
1.5915,0.640956,
1.5934,0.638497,
1.5953,0.636053,
1.5972,0.633624,
1.5991,0.631212,
1.601,0.628814,
1.6029,0.626432,
1.6048,0.624065,
1.6067,0.621713,
1.6086,0.619375,
1.6105,0.617052,
1.6124,0.614744,
1.6143,0.61245,
1.6162,0.610171,
1.6181,0.607906,
1.62,0.605654,
1.6219,0.603417,
1.6238,0.601193,
1.6257,0.598983,
1.6276,0.596786,
1.6295,0.594603,
1.6314,0.592434,
1.6333,0.590277,
1.6352,0.588134,
1.6371,0.586003,
1.639,0.583885,
1.6409,0.58178,
1.6428,0.579688,
1.6447,0.577608,
1.6466,0.575541,
1.6485,0.573485,
1.6504,0.571443,
1.6523,0.569412,
1.6542,0.567393,
1.6561,0.565386,
1.658,0.563391,
1.6599,0.561407,
1.6618,0.559435,
1.6637,0.557475,
1.6656,0.555526,
1.6675,0.553589,
1.6694,0.551662,
1.6713,0.549747,
1.6732,0.547843,
1.6751,0.545949,
1.677,0.544067,
1.6789,0.542195,
1.6808,0.540334,
1.6827,0.538483,
1.6846,0.536643,
1.6865,0.534814,
1.6884,0.532995,
1.6903,0.531186,
1.6922,0.529387,
1.6941,0.527598,
1.696,0.52582,
1.6979,0.524051,
1.6998,0.522292,
1.7017,0.520543,
1.7036,0.518803,
1.7055,0.517073,
1.7074,0.515353,
1.7093,0.513642,
1.7112,0.511941,
1.7131,0.510248,
1.715,0.508565,
1.7169,0.506892,
1.7188,0.505227,
1.7207,0.503571,
1.7226,0.501925,
1.7245,0.500287,
1.7264,0.498658,
1.7283,0.497038,
1.7302,0.495426,
1.7321,0.493823,
1.734,0.492229,
1.7359,0.490643,
1.7378,0.489066,
1.7397,0.487497,
1.7416,0.485936,
1.7435,0.484383,
1.7454,0.482839,
1.7473,0.481303,
1.7492,0.479775,
1.7511,0.478254,
1.753,0.476742,
1.7549,0.475238,
1.7568,0.473741,
1.7587,0.472252,
1.7606,0.470771,
1.7625,0.469298,
1.7644,0.467832,
1.7663,0.466373,
1.7682,0.464923,
1.7701,0.463479,
1.772,0.462043,
1.7739,0.460614,
1.7758,0.459193,
1.7777,0.457778,
1.7796,0.456371,
1.7815,0.454971,
1.7834,0.453578,
1.7853,0.452192,
1.7872,0.450813,
1.7891,0.449441,
1.791,0.448076,
1.7929,0.446717,
1.7948,0.445366,
1.7967,0.444021,
1.7986,0.442682,
1.8005,0.44135,
1.8024,0.440025,
1.8043,0.438707,
1.8062,0.437394,
1.8081,0.436089,
1.81,0.434789,
1.8119,0.433496,
1.8138,0.43221,
1.8157,0.430929,
1.8176,0.429655,
1.8195,0.428387,
1.8214,0.427125,
1.8233,0.425869,
1.8252,0.424619,
1.8271,0.423376,
1.829,0.422138,
1.8309,0.420906,
1.8328,0.41968,
1.8347,0.41846,
1.8366,0.417245,
1.8385,0.416037,
1.8404,0.414834,
1.8423,0.413636,
1.8442,0.412445,
1.8461,0.411259,
1.848,0.410078,
1.8499,0.408904,
1.8518,0.407734,
1.8537,0.40657,
1.8556,0.405412,
1.8575,0.404259,
1.8594,0.403111,
1.8613,0.401969,
1.8632,0.400831,
1.8651,0.399699,
1.867,0.398573,
1.8689,0.397451,
1.8708,0.396335,
1.8727,0.395224,
1.8746,0.394118,
1.8765,0.393016,
1.8784,0.39192,
1.8803,0.390829,
1.8822,0.389743,
1.8841,0.388662,
1.886,0.387585,
1.8879,0.386514,
1.8898,0.385447,
1.8917,0.384385,
1.8936,0.383328,
1.8955,0.382276,
1.8974,0.381228,
1.8993,0.380185,
1.9012,0.379147,
1.9031,0.378113,
1.905,0.377084,
1.9069,0.376059,
1.9088,0.375039,
1.9107,0.374023,
1.9126,0.373012,
1.9145,0.372005,
1.9164,0.371003,
1.9183,0.370005,
1.9202,0.369012,
1.9221,0.368023,
1.924,0.367038,
1.9259,0.366057,
1.9278,0.365081,
1.9297,0.364109,
1.9316,0.363141,
1.9335,0.362177,
1.9354,0.361217,
1.9373,0.360262,
1.9392,0.35931,
1.9411,0.358363,
1.943,0.35742,
1.9449,0.356481,
1.9468,0.355546,
1.9487,0.354614,
1.9506,0.353687,
1.9525,0.352764,
1.9544,0.351844,
1.9563,0.350929,
1.9582,0.350017,
1.9601,0.349109,
1.962,0.348205,
1.9639,0.347305,
1.9658,0.346408,
1.9677,0.345515,
1.9696,0.344626,
1.9715,0.343741,
1.9734,0.34286,
1.9753,0.341982,
1.9772,0.341107,
1.9791,0.340236,
1.981,0.339369,
1.9829,0.338506,
1.9848,0.337646,
1.9867,0.336789,
1.9886,0.335936,
1.9905,0.335087,
1.9924,0.334241,
1.9943,0.333398,
1.9962,0.332559,
1.9981,0.331724,
2,0.330891,
